method vars sample time
MCMC 2 200 0.02753520012
MCMC 4 200 0.2321770191
MCMC 8 200 0.6020040512
MCMC 16 200 1.266123056
MCMC 32 200 2.590352058
MCMC 64 200 3.892028093
MCMC 2 400 0.05947089195
MCMC 4 400 0.3255620003
MCMC 8 400 0.3589940071
MCMC 16 400 1.117798805
MCMC 32 400 3.166537046
MCMC 64 400 5.130638123
MCMC 2 800 0.2925219536
MCMC 4 800 0.4158568382
MCMC 8 800 0.5913598537
MCMC 16 800 1.996690989
MCMC 32 800 4.756627083
MCMC 64 800 9.684926987
MCMC 2 1600 0.3309628963
MCMC 4 1600 1.115545988
MCMC 8 1600 1.714471102
MCMC 16 1600 3.045907974
MCMC 32 1600 6.340423107
MCMC 64 1600 13.24782419
MCMC 2 3200 0.8410329819
MCMC 4 3200 1.638884068
MCMC 8 3200 4.20046711
MCMC 16 3200 5.612916946
MCMC 32 3200 14.53684807
MCMC 64 3200 28.05353093
MCMC 2 6400 5.603794098
MCMC 4 6400 4.988140821
MCMC 8 6400 3.812652826
MCMC 16 6400 10.24037099
MCMC 32 6400 16.56605411
MCMC 64 6400 58.01937103
MCMC 2 12800 24.33891916
MCMC 4 12800 9.915528059
MCMC 8 12800 22.36325312
MCMC 16 12800 38.377635
MCMC 32 12800 94.04558015
MCMC 64 12800 64.61170006
MCMC 2 25600 33.70804405
MCMC 4 25600 41.33168292
MCMC 8 25600 152.349021
MCMC 16 25600 158.4947329
MCMC 32 25600 58.94602919
MCMC 64 25600 159.506371
MCMC 2 200 0.03292989731
MCMC 4 200 0.09299492836
MCMC 8 200 0.2144329548
MCMC 16 200 0.8443050385
MCMC 32 200 2.36281991
MCMC 64 200 3.735555887
MCMC 2 400 0.2798390388
MCMC 4 400 0.1419479847
MCMC 8 400 0.3312828541
MCMC 16 400 1.201680899
MCMC 32 400 2.836148977
MCMC 64 400 6.701188087
MCMC 2 800 0.04566788673
MCMC 4 800 0.6107480526
MCMC 8 800 0.9069070816
MCMC 16 800 1.970671892
MCMC 32 800 4.335173845
MCMC 64 800 8.813276052
MCMC 2 1600 0.480214119
MCMC 4 1600 1.512187958
MCMC 8 1600 1.549329042
MCMC 16 1600 3.217161894
MCMC 32 1600 7.440468788
MCMC 64 1600 15.08669186
MCMC 2 3200 0.5152509212
MCMC 4 3200 2.934808016
MCMC 8 3200 3.795619965
MCMC 16 3200 4.099102974
MCMC 32 3200 9.322103977
MCMC 64 3200 22.1202879
MCMC 2 6400 3.82318902
MCMC 4 6400 27.0222168
