method vars sample time
BAS 2 200 0.00935578346252441
BAS 4 200 0.0169579982757568
BAS 8 200 0.184874057769775
BAS 16 200 62.9633250236511
BAS 32 200 200.0
BAS 64 200 200.0
BAS 2 400 0.0398769378662109
BAS 4 400 0.22345495223999
BAS 8 400 0.793716907501221
BAS 16 400 113.319886922836
BAS 32 400 200.0
BAS 64 400 200.0
BAS 2 800 0.0569860935211182
BAS 4 800 0.0495150089263916
BAS 8 800 0.661719083786011
BAS 16 800 200.0
BAS 32 800 200.0
BAS 64 800 200.0
BAS 2 1600 0.0401759147644043
BAS 4 1600 0.119838953018188
BAS 8 1600 1.47541904449463
BAS 16 1600 200.0
BAS 32 1600 200.0
BAS 64 1600 200.0
BAS 2 3200 0.675331115722656
BAS 4 3200 0.224586009979248
BAS 8 3200 2.80255699157715
BAS 16 3200 200.0
BAS 32 3200 200.0
BAS 64 3200 200.0
BAS 2 6400 0.242893934249878
BAS 4 6400 0.698920965194702
BAS 8 6400 5.85765600204468
BAS 16 6400 200.0
BAS 32 6400 200.0
BAS 64 6400 200.0
BAS 2 12800 0.7377610206604
BAS 4 12800 1.29361295700073
BAS 8 12800 19.618772983551
BAS 16 12800 200.0
BAS 32 12800 200.0
BAS 64 12800 200.0
BAS 2 25600 1.47391891479492
BAS 4 25600 2.50546193122864
BAS 8 25600 34.1266601085663
BAS 16 25600 200.0
BAS 32 25600 200.0
BAS 64 25600 200.0
