sample,vars,maxvars,method
200,2,64,MCMC
200,4,64,MCMC
200,8,64,MCMC
200,16,64,MCMC
200,32,64,MCMC
200,64,64,MCMC
400,2,64,MCMC
400,4,64,MCMC
400,8,64,MCMC
400,16,64,MCMC
400,32,64,MCMC
400,64,64,MCMC
800,2,64,MCMC
800,4,64,MCMC
800,8,64,MCMC
800,16,64,MCMC
800,32,64,MCMC
800,64,64,MCMC
1600,2,64,MCMC
1600,4,64,MCMC
1600,8,64,MCMC
1600,16,64,MCMC
1600,32,64,MCMC
1600,64,64,MCMC
3200,2,64,MCMC
3200,4,64,MCMC
3200,8,64,MCMC
3200,16,64,MCMC
3200,32,64,MCMC
3200,64,64,MCMC
6400,2,64,MCMC
6400,4,64,MCMC
6400,8,64,MCMC
6400,16,64,MCMC
6400,32,64,MCMC
6400,64,64,MCMC
12800,2,64,MCMC
12800,4,64,MCMC
12800,8,64,MCMC
12800,16,64,MCMC
12800,32,64,MCMC
12800,64,64,MCMC
25600,2,64,MCMC
25600,4,64,MCMC
25600,8,64,MCMC
25600,16,64,MCMC
25600,32,64,MCMC
25600,64,64,MCMC
200,2,64,BAS
200,4,64,BAS
200,8,64,BAS
200,16,64,BAS
200,32,64,BAS
200,64,64,BAS
400,2,64,BAS
400,4,64,BAS
400,8,64,BAS
400,16,64,BAS
400,32,64,BAS
400,64,64,BAS
800,2,64,BAS
800,4,64,BAS
800,8,64,BAS
800,16,64,BAS
800,32,64,BAS
800,64,64,BAS
1600,2,64,BAS
1600,4,64,BAS
1600,8,64,BAS
1600,16,64,BAS
1600,32,64,BAS
1600,64,64,BAS
3200,2,64,BAS
3200,4,64,BAS
3200,8,64,BAS
3200,16,64,BAS
3200,32,64,BAS
3200,64,64,BAS
6400,2,64,BAS
6400,4,64,BAS
6400,8,64,BAS
6400,16,64,BAS
6400,32,64,BAS
6400,64,64,BAS
12800,2,64,BAS
12800,4,64,BAS
12800,8,64,BAS
12800,16,64,BAS
12800,32,64,BAS
12800,64,64,BAS
25600,2,64,BAS
25600,4,64,BAS
25600,8,64,BAS
25600,16,64,BAS
25600,32,64,BAS
25600,64,64,BAS
