quality,speed,dist_raw,dist
0,0,0.7600326,0.7600326
0,0.05,0.71706065,0.71706065
0,0.1,0.6740887,0.6740887
0,0.15,0.63111675,0.63111675
0,0.2,0.5881448,0.5881448
0,0.25,0.54517285,0.54517285
0,0.3,0.5022009,0.5022009
0,0.35,0.45922895,0.45922895
0,0.4,0.416257,0.416257
0,0.45,0.37328505,0.37328505
0,0.5,0.3303131,0.3303131
0,0.55,0.28734115,0.28734115
0,0.6,0.2443692,0.2443692
0,0.65,0.20139725,0.20139725
0,0.7,0.1584253,0.1584253
0,0.75,0.11545335,0.11545335
0,0.8,0.0724814,0.0724814
0,0.85,0.02950945,0.02950945
0,0.9,-0.0134625,0
0,0.95,-0.05643445,0
0,1,-0.0994064,0
0.05,0,0.76171185,0.76171185
0.05,0.05,0.7187399,0.7187399
0.05,0.1,0.67576795,0.67576795
0.05,0.15,0.632796,0.632796
0.05,0.2,0.58982405,0.58982405
0.05,0.25,0.5468521,0.5468521
0.05,0.3,0.50388015,0.50388015
0.05,0.35,0.4609082,0.4609082
0.05,0.4,0.41793625,0.41793625
0.05,0.45,0.3749643,0.3749643
0.05,0.5,0.33199235,0.33199235
0.05,0.55,0.2890204,0.2890204
0.05,0.6,0.24604845,0.24604845
0.05,0.65,0.2030765,0.2030765
0.05,0.7,0.16010455,0.16010455
0.05,0.75,0.1171326,0.1171326
0.05,0.8,0.07416065,0.07416065
0.05,0.85,0.0311887,0.0311887
0.05,0.9,-0.01178325,0
0.05,0.95,-0.0547552,0
0.05,1,-0.09772715,0
0.1,0,0.7633911,0.7633911
0.1,0.05,0.72041915,0.72041915
0.1,0.1,0.6774472,0.6774472
0.1,0.15,0.63447525,0.63447525
0.1,0.2,0.5915033,0.5915033
0.1,0.25,0.54853135,0.54853135
0.1,0.3,0.5055594,0.5055594
0.1,0.35,0.46258745,0.46258745
0.1,0.4,0.4196155,0.4196155
0.1,0.45,0.37664355,0.37664355
0.1,0.5,0.3336716,0.3336716
0.1,0.55,0.29069965,0.29069965
0.1,0.6,0.2477277,0.2477277
0.1,0.65,0.20475575,0.20475575
0.1,0.7,0.1617838,0.1617838
0.1,0.75,0.11881185,0.11881185
0.1,0.8,0.0758399,0.0758399
0.1,0.85,0.03286795,0.03286795
0.1,0.9,-0.010104,0
0.1,0.95,-0.05307595,0
0.1,1,-0.0960479,0
0.15,0,0.76507035,0.76507035
0.15,0.05,0.7220984,0.7220984
0.15,0.1,0.67912645,0.67912645
0.15,0.15,0.6361545,0.6361545
0.15,0.2,0.59318255,0.59318255
0.15,0.25,0.5502106,0.5502106
0.15,0.3,0.50723865,0.50723865
0.15,0.35,0.4642667,0.4642667
0.15,0.4,0.42129475,0.42129475
0.15,0.45,0.3783228,0.3783228
0.15,0.5,0.33535085,0.33535085
0.15,0.55,0.2923789,0.2923789
0.15,0.6,0.24940695,0.24940695
0.15,0.65,0.206435,0.206435
0.15,0.7,0.16346305,0.16346305
0.15,0.75,0.1204911,0.1204911
0.15,0.8,0.07751915,0.07751915
0.15,0.85,0.0345472,0.0345472
0.15,0.9,-0.00842475,0
0.15,0.95,-0.0513967,0
0.15,1,-0.09436865,0
0.2,0,0.7667496,0.7667496
0.2,0.05,0.72377765,0.72377765
0.2,0.1,0.6808057,0.6808057
0.2,0.15,0.63783375,0.63783375
0.2,0.2,0.5948618,0.5948618
0.2,0.25,0.55188985,0.55188985
0.2,0.3,0.5089179,0.5089179
0.2,0.35,0.46594595,0.46594595
0.2,0.4,0.422974,0.422974
0.2,0.45,0.38000205,0.38000205
0.2,0.5,0.3370301,0.3370301
0.2,0.55,0.29405815,0.29405815
0.2,0.6,0.2510862,0.2510862
0.2,0.65,0.20811425,0.20811425
0.2,0.7,0.1651423,0.1651423
0.2,0.75,0.12217035,0.12217035
0.2,0.8,0.0791984,0.0791984
0.2,0.85,0.03622645,0.03622645
0.2,0.9,-0.0067455,0
0.2,0.95,-0.04971745,0
0.2,1,-0.0926894,0
0.25,0,0.76842885,0.76842885
0.25,0.05,0.7254569,0.7254569
0.25,0.1,0.68248495,0.68248495
0.25,0.15,0.639513,0.639513
0.25,0.2,0.59654105,0.59654105
0.25,0.25,0.5535691,0.5535691
0.25,0.3,0.51059715,0.51059715
0.25,0.35,0.4676252,0.4676252
0.25,0.4,0.42465325,0.42465325
0.25,0.45,0.3816813,0.3816813
0.25,0.5,0.33870935,0.33870935
0.25,0.55,0.2957374,0.2957374
0.25,0.6,0.25276545,0.25276545
0.25,0.65,0.2097935,0.2097935
0.25,0.7,0.16682155,0.16682155
0.25,0.75,0.1238496,0.1238496
0.25,0.8,0.08087765,0.08087765
0.25,0.85,0.0379057,0.0379057
0.25,0.9,-0.00506625,0
0.25,0.95,-0.0480382,0
0.25,1,-0.09101015,0
0.3,0,0.7701081,0.7701081
0.3,0.05,0.72713615,0.72713615
0.3,0.1,0.6841642,0.6841642
0.3,0.15,0.64119225,0.64119225
0.3,0.2,0.5982203,0.5982203
0.3,0.25,0.55524835,0.55524835
0.3,0.3,0.5122764,0.5122764
0.3,0.35,0.46930445,0.46930445
0.3,0.4,0.4263325,0.4263325
0.3,0.45,0.38336055,0.38336055
0.3,0.5,0.3403886,0.3403886
0.3,0.55,0.29741665,0.29741665
0.3,0.6,0.2544447,0.2544447
0.3,0.65,0.21147275,0.21147275
0.3,0.7,0.1685008,0.1685008
0.3,0.75,0.12552885,0.12552885
0.3,0.8,0.0825569,0.0825569
0.3,0.85,0.03958495,0.03958495
0.3,0.9,-0.003387,0
0.3,0.95,-0.04635895,0
0.3,1,-0.0893309,0
0.35,0,0.77178735,0.77178735
0.35,0.05,0.7288154,0.7288154
0.35,0.1,0.68584345,0.68584345
0.35,0.15,0.6428715,0.6428715
0.35,0.2,0.59989955,0.59989955
0.35,0.25,0.5569276,0.5569276
0.35,0.3,0.51395565,0.51395565
0.35,0.35,0.4709837,0.4709837
0.35,0.4,0.42801175,0.42801175
0.35,0.45,0.3850398,0.3850398
0.35,0.5,0.34206785,0.34206785
0.35,0.55,0.2990959,0.2990959
0.35,0.6,0.25612395,0.25612395
0.35,0.65,0.213152,0.213152
0.35,0.7,0.17018005,0.17018005
0.35,0.75,0.1272081,0.1272081
0.35,0.8,0.08423615,0.08423615
0.35,0.85,0.0412642,0.0412642
0.35,0.9,-0.00170775,0
0.35,0.95,-0.0446797,0
0.35,1,-0.08765165,0
0.4,0,0.7734666,0.7734666
0.4,0.05,0.73049465,0.73049465
0.4,0.1,0.6875227,0.6875227
0.4,0.15,0.64455075,0.64455075
0.4,0.2,0.6015788,0.6015788
0.4,0.25,0.55860685,0.55860685
0.4,0.3,0.5156349,0.5156349
0.4,0.35,0.47266295,0.47266295
0.4,0.4,0.429691,0.429691
