type	model	RE	success
Logit	Logit1	0.8312411041	FALSE
Logit	Logit1	0.09312411041	FALSE
Logit	Logit1	0.02960006485	FALSE
Logit	Logit1	0.4443423306	FALSE
Logit	Logit1	0.2189581688	FALSE
Logit	Logit2	0.1151248408	FALSE
Logit	Logit2	0.03237663724	FALSE
Logit	Logit2	0.1027204001	FALSE
Logit	Logit2	0.2494754099	TRUE
Logit	Logit2	0.1798449753	FALSE
Logit	Logit2	0.3045921319	FALSE
Logit	Logit2	0.4311635707	FALSE
Logit	Logit2	0.0836260109	FALSE
Logit	Logit2	2.211234677	FALSE
Logit	Logit2	0.2950961212	FALSE
Logit	Logit2	0.3186025445	FALSE
Logit	Logit2	0.2459838288	FALSE
Logit	Logit2	1.151319699	FALSE
Logit	Logit2	1.488223214	FALSE
Logit	Logit2	0.1014572104	FALSE
Logit	Logit2	0.029425091	FALSE
Logit	Logit2	0.5148662942	FALSE
Logit	Logit2	0.4938098014	FALSE
Logit	Logit2	0.6399547118	FALSE
Logit	Logit2	5.580790185	FALSE
Logit	Logit2	0.02936033156	FALSE
Logit	Logit2	1.243594208	FALSE
Logit	Logit2	0.07439763934	TRUE
Logit	Logit2	0.4721380002	FALSE
Logit	Logit2	0.4407773486	TRUE
Logit	Logit2	0.2451918017	FALSE
Logit	Logit3	0.1571245001	FALSE
Logit	Logit3	0.2558536255	FALSE
Logit	Logit3	0.1496168736	FALSE
Logit	Logit3	0.03119490349	TRUE
Logit	Logit3	0.02002978161	FALSE
Logit	Logit3	0.2584825802	FALSE
Logit	Logit3	0.5586115138	FALSE
Logit	Logit3	0.1529508465	TRUE
Logit	Logit3	0.5239416137	FALSE
Logit	Logit3	1.494328142	FALSE
Logit	Logit3	0.5174067209	FALSE
Logit	Logit3	0.254499112	TRUE
Logit	Logit3	0.5790608237	FALSE
Logit	Logit3	0.4913877302	FALSE
Logit	Logit3	0.5843283387	FALSE
Logit	Logit3	0.3676888391	TRUE
Logit	Logit3	0.03252314221	FALSE
Logit	Logit3	1.635708746	FALSE
Logit	Logit3	0.2426948332	TRUE
Logit	Logit3	0.4721711494	FALSE
Logit	Logit3	0.1825054387	TRUE
Logit	Logit3	0.2371315972	TRUE
Logit	Logit3	2.763687559	FALSE
Logit	Logit3	0.5303974019	FALSE
Logit	Logit3	0.1823884479	FALSE
Logit	Logit3	0.06958071998	FALSE
Logit	Logit3	2.883121765	FALSE
Logit	Logit3	1.277240375	FALSE
Logit	Logit3	0.2193693439	FALSE
Logit	Logit3	0.273766866	FALSE
Logit	Logit3	1.200377339	FALSE
Logit	Logit3	0.6145995211	FALSE
Logit	Logit3	0.5786798805	FALSE
Logit	Logit3	5.376776321	FALSE
Logit	Logit3	0.305790102	FALSE
Logit	Logit3	0.1722560999	FALSE
Logit	Logit3	0.2073169423	FALSE
Logit	Logit3	0.2972663719	FALSE
Logit	Logit3	0.2755310041	TRUE
Logit	Logit3	0.04809011606	FALSE
Logit	Logit3	1.699891995	FALSE
Logit	Logit3	1.457432271	FALSE
Logit	Logit3	0.04314621589	FALSE
Logit	Logit3	0.129569226	FALSE
Logit	Logit3	0.7557411858	FALSE
Logit	Logit3	0.8658930558	FALSE
Logit	Logit3	0.7134013071	FALSE
Logit	Logit3	5.393515385	FALSE
Logit	Logit3	0.2920037373	FALSE
Logit	Logit3	1.026256315	FALSE
Logit	Logit3	0.006849428396	TRUE
Logit	Logit3	0.469186755	FALSE
Logit	Logit3	0.4433073569	TRUE
Logit	Logit3	0.2746967137	FALSE
Logit	Logit3	0.5826017289	FALSE
Logit	Logit3	1.624691936	FALSE
Logit	Logit3	0.4061283913	FALSE
Logit	Logit3	0.09449656603	TRUE
Logit	Logit3	1.654701519	FALSE
Logit	Logit3	1.136147175	FALSE
Logit	Logit3	0.06751941861	TRUE
Logit	Logit3	1.485112369	FALSE
Logit	Logit3	0.5844983444	TRUE
Logit	Logit3	0.01616143064	FALSE
Logit	Logit3	0.4914823041	FALSE
Logit	Logit3	0.5025020473	FALSE
Logit	Logit3	0.0765910387	TRUE
Logit	Logit3	0.4950197378	FALSE
Logit	Logit3	0.5203118929	TRUE
Logit	Logit3	5.631389386	FALSE
Logit	Logit3	0.4696119535	FALSE
Logit	Logit3	0.4368762744	TRUE
Logit	Logit3	0.0800018905	TRUE
Logit	Logit3	0.4367220656	TRUE
Logit	Logit4	0.2551528954	FALSE
Logit	Logit4	0.4678275995	FALSE
Logit	Logit4	0.2346209435	FALSE
Logit	Logit4	0.08883483905	TRUE
Logit	Logit4	0.1546987816	FALSE
Logit	Logit4	1.205963128	FALSE
Logit	Logit4	0.1661517122	FALSE
Logit	Logit4	0.03747046495	TRUE
Logit	Logit4	0.2741051226	FALSE
Logit	Logit4	0.4688172146	FALSE
Logit	Logit4	0.3033863281	FALSE
Logit	Logit4	0.1671509698	TRUE
Logit	Logit4	0.2554624406	FALSE
Logit	Logit4	0.1564047872	FALSE
Logit	Logit4	0.02572402684	TRUE
Logit	Logit4	0.2529082639	FALSE
Logit	Logit4	0.08152338233	TRUE
Logit	Logit4	0.02936533966	TRUE
Logit	Logit4	2.562992012	FALSE
Logit	Logit4	1.418994884	FALSE
Logit	Logit4	0.4994786575	FALSE
Logit	Logit4	0.1313842304	TRUE
Logit	Logit4	1.030335861	FALSE
Logit	Logit4	0.8111666049	FALSE
Logit	Logit4	0.4960214059	FALSE
Logit	Logit4	0.2874937016	TRUE
Logit	Logit4	0.2544268571	FALSE
Logit	Logit4	0.5113176558	FALSE
Logit	Logit4	0.126769925	TRUE
Logit	Logit4	0.7574545767	FALSE
Logit	Logit4	0.3921375289	TRUE
Logit	Logit4	0.1334309855	TRUE
Logit	Logit4	0.8477300529	FALSE
Logit	Logit4	1.623820242	FALSE
Logit	Logit4	0.8536953012	FALSE
Logit	Logit4	0.3674922449	TRUE
Logit	Logit4	1.627495245	FALSE
